Time (s),Acceleration (m/s²)
7.118815700E-2,6.165830612E0
1.111861570E-1,6.183620453E0
1.511821570E-1,6.042456627E0
1.911784900E-1,6.018695831E0
2.311752400E-1,5.974393845E0
2.711718400E-1,5.009997845E0
3.111680060E-1,2.379880905E0
3.511638630E-1,1.043566704E0
3.911597380E-1,4.981880188E-1
4.311554040E-1,1.815652847E-1
4.711511040E-1,9.554386139E-2
5.111466490E-1,2.603721619E-2
5.511422320E-1,4.173088074E-2
5.911377700E-1,-1.450252533E-2
6.311331980E-1,1.795673370E-2
6.711286640E-1,-2.526283264E-3
7.111240390E-1,1.132774353E-2
7.511194500E-1,-1.275062561E-2
7.911147830E-1,-8.354187012E-4
8.311101510E-1,1.116752625E-2
8.711054010E-1,1.837825775E-2
9.111007340E-1,-7.514953613E-4
9.510960060E-1,-2.465724945E-2
9.910912660E-1,2.324771881E-2
1.031086516E0,6.499290466E-3
1.071081756E0,2.566814423E-2
1.111077025E0,-3.075599670E-3
1.151072247E0,1.609706879E-2
1.191067497E0,-2.219200134E-2
1.231062703E0,2.571105957E-2
1.271058003E0,1.131629944E-2
1.311053236E0,2.324485779E-2
1.351048469E0,-5.497932434E-3
1.391043635E0,1.688003540E-3
1.431038701E0,1.608943939E-2
1.471033767E0,-5.455970764E-3
1.511028833E0,1.132106781E-2
1.551023966E0,-3.416538239E-2
1.591019032E0,8.935928345E-3
1.631014198E0,4.152297974E-3
1.671009298E0,8.946418762E-3
1.711004398E0,-2.458953857E-2
1.750999498E0,1.849842072E-2
1.790994564E0,-2.700519562E-2
1.830989697E0,-3.064155579E-3
1.870984763E0,-3.061294556E-3
1.910979896E0,4.109382629E-3
1.950974962E0,1.723289490E-3
1.990970028E0,-1.742553711E-2
2.032113615E0,1.131343842E-2
2.072108748E0,-2.460861206E-2
2.112103848E0,6.515502930E-3
2.152098948E0,-1.981353760E-2
2.192094081E0,-6.561279297E-4
2.232089181E0,-2.459716797E-2
2.272084314E0,1.611232758E-2
2.312079514E0,-1.738166809E-2
2.352074847E0,-2.694416046E-2
2.392070247E0,-7.800102234E-3
2.432065647E0,-4.612541199E-2
2.472060980E0,-1.263618469E-2
2.512056246E0,-1.504039764E-2
2.552051579E0,-1.982116699E-2
2.592046879E0,-2.222061157E-2
2.632042212E0,-3.108978271E-3
2.672037478E0,-3.089904785E-3
2.712032744E0,-1.024723053E-2
2.752028044E0,1.367950439E-2
2.792023344E0,-7.905960083E-3
2.832018610E0,1.847362518E-2
2.872013876E0,-1.501178741E-2
2.912009209E0,-1.022624969E-2
2.952004475E0,-3.416633606E-2
2.991999741E0,-5.389213562E-3
3.031995007E0,1.617527008E-2
3.071990273E0,-5.378723145E-3
3.111985506E0,-3.651332855E-2
3.151980806E0,-5.922317505E-4
3.191976172E0,-3.894901276E-2
3.231971438E0,1.126766205E-2
3.271966738E0,-5.572795868E-2
3.311962004E0,-4.853916168E-2
3.351957270E0,-7.855415344E-3
3.391952570E0,-1.739788055E-2
3.431947970E0,-3.416728973E-2
3.471943370E0,-1.266479492E-2
3.511938636E0,-3.180122375E-2
3.551933836E0,1.724243164E-3
3.591928902E0,-2.700328827E-2
3.631924035E0,-1.501274109E-2
3.671919101E0,6.543159485E-3
3.711914167E0,-2.454566956E-2
3.751909233E0,-1.262283325E-2
3.791904333E0,1.372146606E-2
3.831899433E0,-6.047821045E-2
3.871894533E0,6.156730652E-2
3.911889699E0,-2.696037292E-2
3.951884765E0,1.755714417E-3
3.991879798E0,-1.738929749E-2
4.031874864E0,-3.037452698E-3
4.071869930E0,-2.218723297E-2
4.111864996E0,-1.017284393E-2
4.151860062E0,-2.695751190E-2
4.191855228E0,-3.005027771E-3
4.231850328E0,-3.026008606E-3
4.271845494E0,-1.737022400E-2
4.311840627E0,-1.739692688E-2
4.351835693E0,4.954051971E-2
4.391830759E0,-3.185939789E-2
4.431825859E0,1.612186432E-2
4.471821159E0,-5.083942413E-2
4.511816559E0,1.640319824E-3
4.551812025E0,-3.193187714E-2
4.591807391E0,-5.960464478E-4
4.631802724E0,-4.364681244E-2
4.671797990E0,-5.554199219E-3
4.711793256E0,-1.990699768E-2
4.751788522E0,-2.694797516E-2
4.791783755E0,-2.691364288E-2
4.831779021E0,-3.894519806E-2
4.871774287E0,-2.465438843E-2
4.911769653E0,-1.494216919E-2
4.951764919E0,-1.250648499E-2
4.991760185E0,-1.974868774E-2
5.031755451E0,-3.417491913E-2
5.071750717E0,-7.802963257E-3
5.111745983E0,-1.732921600E-2
5.151741249E0,-2.697277069E-2
5.191736615E0,-3.180599213E-2
5.231731881E0,-2.460670471E-2
5.271727214E0,2.809238434E-2
5.311722514E0,6.877422333E-2
5.351717814E0,8.312511444E-2
