"Time (s)","Pressure (hPa)","Altitude (m)","Time (velocity) (s)","Velocity (m/s)"
4.204157000E-3,1.014491455E3,0.000000000E0,5.041406570E-1,-4.264802906E-2
1.004077157E0,1.014496582E3,-4.264261276E-2,1.504595886E0,4.259841869E-2
2.005114615E0,1.014491455E3,0.000000000E0,2.505053615E0,3.655540958E-2
3.004992615E0,1.014487061E3,3.655094982E-2,3.504931615E0,-4.467881652E-2
4.004870615E0,1.014492432E3,-8.122415886E-3,4.504810215E0,1.421594923E-2
5.004749815E0,1.014490723E3,6.091816060E-3,5.504689315E0,1.218518133E-1
6.004628815E0,1.014476074E3,1.279288853E-1,6.504568601E0,-3.655567269E-2
7.004508386E0,1.014480469E3,9.137761492E-2,7.504448074E0,-3.249383001E-2
8.004387761E0,1.014484375E3,5.888770449E-2,8.504327761E0,8.408099308E-1
9.004267761E0,1.014383301E3,8.995967381E-1,9.504207961E0,1.434000872E0
1.000414816E1,1.014210938E3,2.333426104E0,1.050408825E1,1.308241178E0
1.100402834E1,1.014053711E3,3.641510530E0,1.150396851E1,1.312468856E0
1.200390868E1,1.013895996E3,4.953822326E0,1.250384868E1,1.475201488E0
1.300378868E1,1.013718750E3,6.428846791E0,1.350372860E1,1.325014803E0
1.400366853E1,1.013559570E3,7.753702402E0,1.450360863E1,1.249976248E0
1.500354873E1,1.013409424E3,9.003528904E0,1.550348892E1,1.363966054E0
1.600342911E1,1.013245605E3,1.036733179E1,1.650336922E1,1.408873898E0
1.700330934E1,1.013076416E3,1.177603696E1,1.750324956E1,1.091855586E0
1.800318979E1,1.012945312E3,1.286776201E1,1.850312994E1,1.480389371E0
1.900307010E1,1.012767578E3,1.434797420E1,1.950301038E1,1.342292744E0
2.000295065E1,1.012606445E3,1.569010660E1,2.050289098E1,1.214313641E0
2.100283132E1,1.012460693E3,1.690427534E1,2.150277157E1,1.407723499E0
2.200271182E1,1.012291748E3,1.831183061E1,2.250265216E1,1.186134127E0
2.300259251E1,1.012149414E3,1.949782323E1,2.350253280E1,1.373480258E0
2.400247310E1,1.011984619E3,2.087113947E1,2.450241348E1,1.111125222E0
2.500235386E1,1.011851318E3,2.198213220E1,2.550229430E1,4.355282431E-1
2.600223474E1,1.011799072E3,2.241760856E1,2.650217505E1,-8.954937300E-2
2.700211537E1,1.011809814E3,2.232806988E1,2.750205564E1,2.198044013E-1
2.800199590E1,1.011783447E3,2.254784802E1,2.850193623E1,-1.445015466E-1
2.900187656E1,1.011800781E3,2.240336372E1,2.950181684E1,6.919767975E-2
3.000175712E1,1.011792480E3,2.247255314E1,3.050171426E1,2.889973029E-1
3.100167139E1,1.011757812E3,2.276152566E1,3.150162864E1,-2.849304146E-2
3.200158589E1,1.011761230E3,2.273303506E1,3.250154304E1,-1.078658296E-1
